0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.0,0.0,0.0,0.0,0.0,2.053803217353219,2.2187373382600786,2.392008252169528,2.6131802309828025,2.884458955362376,1.033616933418452,1.1535094501399292,1.2228520696771468,0.7777749810700217,0.8053875262606948,0.8384952619388705,0.8499999999999959,0.5417584804427343,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.1244302820194934,2.273291936387864,2.4296779816564844,2.629297238636448,2.884458955362398,1.0336169334184742,1.1535094501398153,1.2228520696770333,0.7777749810700219,0.8053875262606948,0.8384952619388707,0.8499999999999958,0.11204960581112654,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.250408590496411,2.429119111293403,2.616862769752133,2.8565085101368193,3.1504462462975176,1.3211032184667422,1.4668408286132082,1.5511315577512628,1.1151654099267254,1.1514218823075224,1.1948937787197356,1.2099999999999975,0.3531853764095407,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0996778044199638,2.267826418634521,2.4444743062721357,2.6699568294520732,2.946522656580576,1.1006970665963862,1.2266201051170278,1.299450616894441,0.8564994144699193,0.8861288760049546,0.9216549158544057,0.9339999999999961,0.08240992116222616,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.053803217353219,2.2187373382600786,2.392008252169528,2.613180230982803,2.884458955362376,2.21550499417259,1.153509450139929,1.222852069677147,1.2651167116408166,1.305214929439446,1.3532931195112314,1.3699999999999963,1.3383877183442543,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.053803217353219,2.2187373382600786,2.392008252169528,2.613180230982803,2.884458955362376,1.464846360990893,1.153509450139929,1.222852069677147,1.2651167116408164,1.3052149294394462,1.3532931195112317,1.3699999999999968,1.3383877183442547,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.1244302820194934,2.273291936387864,2.4296779816564844,2.629297238636448,2.884458955362398,1.0336169334184742,1.153509450139929,1.222852069677147,0.5041138554418064,0.5247152152449348,0.549416464994391,0.5579999999999957,0.11204960581112654,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.250408590496411,2.429119111293403,2.616862769752133,2.8565085101368193,3.1504462462975176,1.3211032184667422,1.4668408286132084,1.5511315577512632,0.8415042842985102,0.8707495712917622,0.9058149817752562,0.9179999999999959,0.3531853764095407,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0996778044199638,2.267826418634521,2.4444743062721357,2.6699568294520732,2.946522656580576,1.1006970665963862,1.2266201051170278,1.2994506168944413,0.582838288841704,0.6054565649891945,0.6325761189099263,0.6419999999999958,0.08240992116222616,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.053803217353219,2.2187373382600786,2.392008252169528,2.6131802309828025,2.884458955362376,2.215504994172533,1.1535094501399292,1.2228520696771468,1.2651167116408164,1.3052149294394462,1.3532931195112314,1.3699999999999966,1.3383877183442543,0.0,0.0,0.0,0.0,0.0,0.0
